"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: concurrency","Param: impl","Param: iterations"
"algo.bench.ConnectedComponentsBenchmark.wccCount","avgt",1,10,93.872903,26.906724,"us/op",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.alloc.rate","avgt",1,10,182.525452,38.212968,"MB/sec",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.alloc.rate.norm","avgt",1,10,26544.542544,90.045607,"B/op",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Eden_Space","avgt",1,10,204.460843,497.723964,"MB/sec",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Eden_Space.norm","avgt",1,10,34564.550319,87277.171858,"B/op",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Survivor_Space","avgt",1,10,0.451287,2.157564,"MB/sec",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,100.715951,481.514156,"B/op",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.count","avgt",1,10,3.000000,NaN,"counts",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.time","avgt",1,10,269.000000,NaN,"ms",,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,4730689.479000,741871.107885,"us/op",0,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,16.483081,2.555493,"MB/sec",0,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,90771620.800000,5209570.494306,"B/op",0,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",0,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,7921093.704600,728427.218314,"us/op",1,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,8.415878,14.318975,"MB/sec",1,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,73948952.000000,123807836.410554,"B/op",1,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",1,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,4524715.438400,1055638.870700,"us/op",2,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,14.466042,25.229789,"MB/sec",2,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,75049996.800000,125807951.058363,"B/op",2,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",2,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,2603478.435400,780875.687554,"us/op",4,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,23.331294,39.298092,"MB/sec",4,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,77246788.800000,129801374.696334,"B/op",4,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.churn.PS_Eden_Space","avgt",1,5,66.313223,570.976849,"MB/sec",4,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.churn.PS_Eden_Space.norm","avgt",1,5,214748364.800000,1849048185.036073,"B/op",4,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,1.000000,NaN,"counts",4,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.time","avgt",1,5,20.000000,NaN,"ms",4,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,1911003.321400,1567401.213396,"us/op",8,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,33.419564,63.558886,"MB/sec",8,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,81625401.600000,137748164.430552,"B/op",8,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.churn.PS_Eden_Space","avgt",1,5,72.856140,627.313334,"MB/sec",8,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.churn.PS_Eden_Space.norm","avgt",1,5,214748364.800000,1849048185.036073,"B/op",8,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,1.000000,NaN,"counts",8,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.time","avgt",1,5,87.000000,NaN,"ms",8,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential","avgt",1,5,919.224432,819.528600,"us/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.alloc.rate","avgt",1,5,2244.139943,2605.239481,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.alloc.rate.norm","avgt",1,5,3283448.235723,57590.965191,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Eden_Space","avgt",1,5,2303.012497,3465.907540,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Eden_Space.norm","avgt",1,5,3349409.359049,2387818.457383,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Survivor_Space","avgt",1,5,0.813535,4.383952,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,1023.105567,5395.047317,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.count","avgt",1,5,14.000000,NaN,"counts",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.time","avgt",1,5,321.000000,NaN,"ms",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel","avgt",1,5,974.897027,1804.720250,"us/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.alloc.rate","avgt",1,5,2308.407624,2664.809929,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.alloc.rate.norm","avgt",1,5,3285452.278493,78897.580942,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.churn.PS_Eden_Space","avgt",1,5,2246.446883,3705.205112,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.churn.PS_Eden_Space.norm","avgt",1,5,3104039.803041,3054857.210037,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.churn.PS_Survivor_Space","avgt",1,5,1.008759,4.307849,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,1243.757565,5552.234389,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.count","avgt",1,5,14.000000,NaN,"counts",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.time","avgt",1,5,461.000000,NaN,"ms",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan","avgt",1,5,741.157485,238.024421,"us/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.alloc.rate","avgt",1,5,2668.931968,454.996362,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.alloc.rate.norm","avgt",1,5,3276219.123581,3535.649881,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.churn.PS_Eden_Space","avgt",1,5,2814.993157,1373.509233,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.churn.PS_Eden_Space.norm","avgt",1,5,3456586.575900,1575364.545276,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.churn.PS_Survivor_Space","avgt",1,5,1.215556,3.122706,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,1503.245000,3858.124165,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.count","avgt",1,5,17.000000,NaN,"counts",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.time","avgt",1,5,191.000000,NaN,"ms",,,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,35.071023,7.823468,"us/op",,LIGHT,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,374.664159,103.934441,"MB/sec",,LIGHT,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,20892.938292,196.088429,"B/op",,LIGHT,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,400.087032,1407.887345,"MB/sec",,LIGHT,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,22609.444939,79836.341673,"B/op",,LIGHT,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.405907,3.092335,"MB/sec",,LIGHT,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,23.748610,180.004602,"B/op",,LIGHT,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,3.000000,NaN,"counts",,LIGHT,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,49.000000,NaN,"ms",,LIGHT,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,53.067949,20.069622,"us/op",,LIGHT,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,249.771056,104.508133,"MB/sec",,LIGHT,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,20921.565354,254.422564,"B/op",,LIGHT,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,265.221038,1399.170278,"MB/sec",,LIGHT,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,24670.267452,130194.288841,"B/op",,LIGHT,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.369769,3.183824,"MB/sec",,LIGHT,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,34.645125,298.304971,"B/op",,LIGHT,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,2.000000,NaN,"counts",,LIGHT,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,224.000000,NaN,"ms",,LIGHT,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,111.075966,2.690300,"us/op",,LIGHT,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,117.110458,16.744235,"MB/sec",,LIGHT,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,20914.117639,706.391574,"B/op",,LIGHT,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,136.454900,1174.917838,"MB/sec",,LIGHT,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,24034.512009,206944.396758,"B/op",,LIGHT,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,1.000000,NaN,"counts",,LIGHT,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,25.000000,NaN,"ms",,LIGHT,100
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,63.381195,18.744874,"us/op",,HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,514.883480,187.772594,"MB/sec",,HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,51608.604219,398.492803,"B/op",,HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,575.674740,1264.272954,"MB/sec",,HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,60354.322429,134379.994230,"B/op",,HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.407423,3.444781,"MB/sec",,HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,42.159819,356.104163,"B/op",,HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,4.000000,NaN,"counts",,HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,206.000000,NaN,"ms",,HEAVY,5
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,69.785181,37.745924,"us/op",,HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,472.724850,280.587565,"MB/sec",,HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,51626.589053,497.650325,"B/op",,HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,574.766891,1260.542084,"MB/sec",,HEAVY,20
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,66224.785410,159414.773526,"B/op",,HEAVY,20
